Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C35, C5, C9",0603,5,0.1uF,
"C10, C34, C36, C41, C42, C8",0603,6,47nF,
"C11, C12, C13, C17, C21, C23, C25, C26, C29, C3, C4, C6, C7",0603,13,4.7uF,
"C14, C22, C28, C32",0603,4,1nF,
"C15, C24, C30, C33",0603,4,10nF,
"C16, C18, C20, C27, C31",0603,5,10uF,
C2,0603,1,1uF,
"C37, C40",0603,2,470nF,
"C38, C39",0603,2,470pF,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
FB1,0603,1,FerriteBead,
J1,AMPHENOL_GSB1C41110SSHR,1,GSB1C41110SSHR,
J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Pin,
"J4, J5",TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,2,Conn_01x02_Socket,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"L1, L3, L4, L5",0805,4,1uH,
L2,IND_ETQP5M100YFC,1,10uH,
Q1,TO-252-2,1,GSFD0646,
R1,0603,1,56.2k,
"R10, R22, R24, R8",0603,4,10,
"R11, R14, R17, R20",0603,4,51k,
"R12, R15, R16, R18, R19, R5",0603,6,2.2k,
"R13, R34, R35, R39",0603,4,13.7k,
R2,0603,1,453k,
R21,0603,1,5.36k,
"R23, R9",0603,2,10m,
R25,0603,1,41.2k,
"R26, R27, R28, R29, R30, R31, R4",0603,7,10k,
R3,0603,1,0,
"R32, R33",0603,2,2.2,
R36,0603,1,6.04k,
R37,0603,1,8.25k,
R38,0603,1,11k,
R6,0603,1,22k,
R7,0603,1,100k,
SW1,SW3_CSS-1210TB_NDC,1,SW_SPDT,
U1,QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm,1,RT1719GQW,
U10,SOT-23-3,1,BAV74_215,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SSF3611E,
"U3, U5, U6, U8",DFN-8-1EP_2x2mm_P0.5mm_EP0.6x1.2mm,4,ETA3000D2I,
U4,WQFN-26_L4.0-W3.5_BQ25690RBAR,1,BQ25690RBAR,
U9,SC-74A-5_1.55x2.9mm_P0.95mm,1,TCR1HF33B,
